Hashcat synthetic benchmark suite
  Modes:    6
  Vec widths: [1, 2, 4, 8]
  Trials:   10
  Total runs: 240
  Est. time:  ~40 minutes
  GPU:      Apple M3 Max
  Backend:  Metal
  Hashcat:  v7.1.2-386-g8000b3e60+


--- Mode 0: MD5 ---
  Vec:8 trial 10/10: 2363.2 MH/s

--- Mode 5500: NetNTLMv1 / NetNTLMv1+ESS ---
  Vec:1 trial 1/10: 21197.2 MH/s
  Vec:1 trial 2/10: 21192.3 MH/s
  Vec:1 trial 3/10: 21016.2 MH/s
  Vec:1 trial 4/10: 21187.1 MH/s
  Vec:1 trial 5/10: 21002.0 MH/s
  Vec:1 trial 6/10: 21196.0 MH/s
  Vec:1 trial 7/10: 21201.7 MH/s
  Vec:1 trial 8/10: 21131.2 MH/s
  Vec:1 trial 9/10: 20989.5 MH/s
  Vec:1 trial 10/10: 21186.0 MH/s
  Vec:2 trial 1/10: 22447.7 MH/s
  Vec:2 trial 2/10: 22351.2 MH/s
  Vec:2 trial 3/10: 22227.7 MH/s
  Vec:2 trial 4/10: 22392.9 MH/s
  Vec:2 trial 5/10: 22410.5 MH/s
  Vec:2 trial 6/10: 22191.2 MH/s
  Vec:2 trial 7/10: 22453.3 MH/s
  Vec:2 trial 8/10: 22456.3 MH/s
  Vec:2 trial 9/10: 22139.2 MH/s
  Vec:2 trial 10/10: 22422.9 MH/s
  Vec:4 trial 1/10: 21223.6 MH/s
  Vec:4 trial 2/10: 21269.7 MH/s
  Vec:4 trial 3/10: 21002.6 MH/s
  Vec:4 trial 4/10: 21162.7 MH/s
  Vec:4 trial 5/10: 21204.1 MH/s
  Vec:4 trial 6/10: 21224.3 MH/s
  Vec:4 trial 7/10: 21023.0 MH/s
  Vec:4 trial 8/10: 21146.2 MH/s
  Vec:4 trial 9/10: 21203.6 MH/s
  Vec:4 trial 10/10: 21133.3 MH/s
  Vec:8 trial 1/10: 21238.7 MH/s
  Vec:8 trial 2/10: 21182.8 MH/s
  Vec:8 trial 3/10: 21229.4 MH/s
  Vec:8 trial 4/10: 20964.8 MH/s
  Vec:8 trial 5/10: 21144.1 MH/s
  Vec:8 trial 6/10: 21139.7 MH/s
  Vec:8 trial 7/10: 20705.6 MH/s
  Vec:8 trial 8/10: 21168.2 MH/s
  Vec:8 trial 9/10: 21129.2 MH/s
  Vec:8 trial 10/10: 21228.9 MH/s

--- Mode 7300: IPMI2 RAKP HMAC-SHA1 ---
  Vec:1 trial 1/10: 1031.6 MH/s
  Vec:1 trial 2/10: 1036.4 MH/s
  Vec:1 trial 3/10: 1042.0 MH/s
  Vec:1 trial 4/10: 1036.7 MH/s
  Vec:1 trial 5/10: 1040.9 MH/s
  Vec:1 trial 6/10: 1036.3 MH/s
  Vec:1 trial 7/10: 1034.6 MH/s
  Vec:1 trial 8/10: 1026.1 MH/s
  Vec:1 trial 9/10: 1038.2 MH/s
  Vec:1 trial 10/10: 1015.6 MH/s
  Vec:2 trial 1/10: 821.6 MH/s
  Vec:2 trial 2/10: 817.2 MH/s
  Vec:2 trial 3/10: 772.6 MH/s
  Vec:2 trial 4/10: 756.1 MH/s
  Vec:2 trial 5/10: 819.6 MH/s
  Vec:2 trial 6/10: 834.8 MH/s
  Vec:2 trial 7/10: 839.7 MH/s
  Vec:2 trial 8/10: 820.1 MH/s
  Vec:2 trial 9/10: 819.7 MH/s
  Vec:2 trial 10/10: 821.2 MH/s
  Vec:4 trial 1/10: 666.8 MH/s
  Vec:4 trial 2/10: 678.8 MH/s
  Vec:4 trial 3/10: 671.9 MH/s
  Vec:4 trial 4/10: 680.8 MH/s
  Vec:4 trial 5/10: 671.3 MH/s
  Vec:4 trial 6/10: 683.2 MH/s
  Vec:4 trial 7/10: 681.9 MH/s
  Vec:4 trial 8/10: 673.7 MH/s
  Vec:4 trial 9/10: 675.5 MH/s
  Vec:4 trial 10/10: 680.1 MH/s
  Vec:8 trial 1/10: 687.3 MH/s
  Vec:8 trial 2/10: 689.5 MH/s
  Vec:8 trial 3/10: 678.2 MH/s
  Vec:8 trial 4/10: 682.6 MH/s
  Vec:8 trial 5/10: 681.3 MH/s
  Vec:8 trial 6/10: 687.7 MH/s
  Vec:8 trial 7/10: 665.2 MH/s
  Vec:8 trial 8/10: 688.1 MH/s
  Vec:8 trial 9/10: 689.7 MH/s
  Vec:8 trial 10/10: 683.0 MH/s

--- Mode 18700: Java Object hashCode() ---
  Vec:1 trial 1/10: 105500.0 MH/s
  Vec:1 trial 2/10: 105600.0 MH/s
  Vec:1 trial 3/10: 104100.0 MH/s
  Vec:1 trial 4/10: 105500.0 MH/s
  Vec:1 trial 5/10: 105500.0 MH/s
  Vec:1 trial 6/10: 105300.0 MH/s
  Vec:1 trial 7/10: 105400.0 MH/s
  Vec:1 trial 8/10: 104500.0 MH/s
  Vec:1 trial 9/10: 105400.0 MH/s
  Vec:1 trial 10/10: 105100.0 MH/s
  Vec:2 trial 1/10: 135800.0 MH/s
  Vec:2 trial 2/10: 135800.0 MH/s
  Vec:2 trial 3/10: 135900.0 MH/s
  Vec:2 trial 4/10: 136600.0 MH/s
  Vec:2 trial 5/10: 136400.0 MH/s
  Vec:2 trial 6/10: 136500.0 MH/s
  Vec:2 trial 7/10: 136300.0 MH/s
  Vec:2 trial 8/10: 136300.0 MH/s
  Vec:2 trial 9/10: 132100.0 MH/s
